Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Efficiency_WhKm,FastChargeSpeed_kmph
2.7 sec,270 km/h,645 km,183 Wh/km,,All Wheel Drive,5,218000.0,,183,820
2.8 sec,260 km/h,400 km,209 Wh/km,,All Wheel Drive,4,189668.0,,209,980
3.3 sec,250 km/h,405 km,210 Wh/km,,All Wheel Drive,4,146050.0,,210,1000
11.4 sec,135 km/h,315 km,165 Wh/km,,Front Wheel Drive,5,36840.0,,165,230
9.0 sec,160 km/h,285 km,182 Wh/km,,Rear Wheel Drive,5,,,182,360
3.7 sec,250 km/h,415 km,181 Wh/km,,All Wheel Drive,5,63667.0,,181,640
5.1 sec,220 km/h,425 km,197 Wh/km,,All Wheel Drive,4,98514.0,,197,1050
9.5 sec,140 km/h,310 km,168 Wh/km,,Front Wheel Drive,5,37840.0,,168,230
3.2 sec,260 km/h,415 km,202 Wh/km,,All Wheel Drive,4,156348.0,,202,1020
11.6 sec,130 km/h,100 km,167 Wh/km,,Rear Wheel Drive,2,21940.0,,167,0
11.9 sec,130 km/h,95 km,176 Wh/km,,Rear Wheel Drive,2,25200.0,,176,0
8.3 sec,145 km/h,170 km,168 Wh/km,,Rear Wheel Drive,4,39900.0,,168,180
4.0 sec,250 km/h,395 km,180 Wh/km,,All Wheel Drive,4,108867.0,,180,970
4.0 sec,250 km/h,460 km,182 Wh/km,,All Wheel Drive,4,114389.0,,182,1130
12.1 sec,160 km/h,305 km,295 Wh/km,,Front Wheel Drive,7,71626.0,,295,310
7.5 sec,160 km/h,235 km,191 Wh/km,,Front Wheel Drive,5,47550.0,,191,150
5.7 sec,190 km/h,470 km,172 Wh/km,,Rear Wheel Drive,5,59200.0,,172,730
12.6 sec,135 km/h,130 km,164 Wh/km,,Rear Wheel Drive,4,28000.0,,164,0
9.0 sec,150 km/h,230 km,162 Wh/km,,Front Wheel Drive,4,37990.0,,162,380
8.7 sec,160 km/h,325 km,178 Wh/km,,Rear Wheel Drive,5,,,178,440
8.6 sec,160 km/h,420 km,183 Wh/km,,Rear Wheel Drive,5,48900.0,,183,530
6.9 sec,160 km/h,400 km,193 Wh/km,,All Wheel Drive,5,,,193,500
6.2 sec,180 km/h,390 km,197 Wh/km,,All Wheel Drive,5,63300.0,,197,540
9.0 sec,150 km/h,235 km,159 Wh/km,,Front Wheel Drive,4,34990.0,,159,390
9.0 sec,160 km/h,295 km,176 Wh/km,,Rear Wheel Drive,5,,,176,370
7.5 sec,160 km/h,320 km,197 Wh/km,,Front Wheel Drive,5,47490.0,,197,430
7.6 sec,160 km/h,435 km,200 Wh/km,,Front Wheel Drive,5,58990.0,,200,520
5.7 sec,200 km/h,420 km,207 Wh/km,,All Wheel Drive,5,61990.0,,207,500
5.1 sec,200 km/h,420 km,207 Wh/km,,All Wheel Drive,5,71490.0,,207,500
8.5 sec,160 km/h,410 km,188 Wh/km,,Rear Wheel Drive,5,46335.0,,188,520
12.1 sec,160 km/h,305 km,295 Wh/km,,Front Wheel Drive,7,72519.0,,295,310
3.2 sec,270 km/h,665 km,168 Wh/km,,All Wheel Drive,5,174500.0,,168,840
3.4 sec,250 km/h,550 km,160 Wh/km,,All Wheel Drive,5,120000.0,,160,960
4.2 sec,200 km/h,560 km,157 Wh/km,,Rear Wheel Drive,5,100000.0,,157,980
9.0 sec,135 km/h,135 km,158 Wh/km,,Front Wheel Drive,4,30990.0,,158,230
9.0 sec,150 km/h,235 km,159 Wh/km,,Front Wheel Drive,4,36990.0,,159,390
5.1 sec,180 km/h,370 km,216 Wh/km,,All Wheel Drive,5,66069.0,,216,440
12.1 sec,130 km/h,185 km,250 Wh/km,,Front Wheel Drive,7,53640.0,,250,290
12.1 sec,130 km/h,180 km,257 Wh/km,,Front Wheel Drive,7,54430.0,,257,290
13.3 sec,130 km/h,265 km,257 Wh/km,,Front Wheel Drive,7,59640.0,,257,290
13.3 sec,130 km/h,260 km,262 Wh/km,,Front Wheel Drive,7,60430.0,,262,280
12.1 sec,130 km/h,185 km,250 Wh/km,,Front Wheel Drive,7,63250.0,,250,290
12.1 sec,130 km/h,180 km,257 Wh/km,,Front Wheel Drive,7,64075.0,,257,290
13.3 sec,130 km/h,265 km,257 Wh/km,,Front Wheel Drive,7,69250.0,,257,290
13.3 sec,130 km/h,260 km,262 Wh/km,,Front Wheel Drive,7,70075.0,,262,280
13.1 sec,130 km/h,185 km,250 Wh/km,,Front Wheel Drive,7,53640.0,,250,290
13.1 sec,130 km/h,180 km,257 Wh/km,,Front Wheel Drive,7,54430.0,,257,290
14.3 sec,130 km/h,265 km,257 Wh/km,,Front Wheel Drive,7,59640.0,,257,290
14.3 sec,130 km/h,260 km,262 Wh/km,,Front Wheel Drive,7,60430.0,,262,280
5.4 sec,230 km/h,410 km,173 Wh/km,,Rear Wheel Drive,4,88399.0,,173,1010
5.4 sec,230 km/h,475 km,176 Wh/km,,Rear Wheel Drive,4,94123.0,,176,1170
3.2 sec,250 km/h,570 km,167 Wh/km,,All Wheel Drive,5,112990.0,,167,790
2.1 sec,282 km/h,550 km,173 Wh/km,,All Wheel Drive,5,137990.0,,173,770
3.9 sec,250 km/h,470 km,202 Wh/km,,All Wheel Drive,7,120990.0,,202,650
2.6 sec,262 km/h,455 km,209 Wh/km,,All Wheel Drive,7,140990.0,,209,630
7.3 sec,150 km/h,180 km,161 Wh/km,,Front Wheel Drive,4,35700.0,,161,260
12.0 sec,132 km/h,225 km,173 Wh/km,,Front Wheel Drive,5,,,173,160
9.0 sec,160 km/h,285 km,182 Wh/km,,Rear Wheel Drive,5,,,182,360
4.1 sec,245 km/h,420 km,202 Wh/km,,All Wheel Drive,4,106050.0,,202,1030
9.9 sec,155 km/h,250 km,157 Wh/km,,Front Wheel Drive,5,36400.0,,157,220
7.9 sec,167 km/h,395 km,162 Wh/km,,Front Wheel Drive,5,42900.0,,162,370
4.1 sec,240 km/h,425 km,197 Wh/km,,All Wheel Drive,4,114222.0,,197,1050
3.3 sec,250 km/h,400 km,209 Wh/km,,All Wheel Drive,4,157776.0,,209,980
2.9 sec,250 km/h,385 km,217 Wh/km,,All Wheel Drive,4,191096.0,,217,950
3.5 sec,260 km/h,370 km,200 Wh/km,,All Wheel Drive,5,72990.0,,200,970
6.1 sec,200 km/h,360 km,197 Wh/km,,All Wheel Drive,5,77300.0,,197,480
4.6 sec,200 km/h,505 km,208 Wh/km,,All Wheel Drive,5,100100.0,,208,680
7.7 sec,185 km/h,335 km,171 Wh/km,,Front Wheel Drive,5,38490.0,,171,330
4.9 sec,200 km/h,330 km,197 Wh/km,,All Wheel Drive,5,50990.0,,197,390
8.5 sec,185 km/h,295 km,183 Wh/km,,Rear Wheel Drive,5,43900.0,,183,720
8.5 sec,185 km/h,305 km,177 Wh/km,,Rear Wheel Drive,5,46990.0,,177,750
7.3 sec,185 km/h,410 km,180 Wh/km,,Rear Wheel Drive,5,51990.0,,180,1070
5.2 sec,185 km/h,400 km,185 Wh/km,,All Wheel Drive,5,55980.0,,185,1050
6.2 sec,210 km/h,640 km,168 Wh/km,,Rear Wheel Drive,5,109551.0,,168,960
4.3 sec,210 km/h,605 km,178 Wh/km,,All Wheel Drive,5,141705.0,,178,900
10.9 sec,160 km/h,285 km,182 Wh/km,,Rear Wheel Drive,5,,,182,360
8.5 sec,160 km/h,405 km,189 Wh/km,,Rear Wheel Drive,5,51900.0,,189,510
6.2 sec,180 km/h,385 km,199 Wh/km,,All Wheel Drive,5,57900.0,,199,490
6.2 sec,180 km/h,400 km,192 Wh/km,,All Wheel Drive,5,59900.0,,192,500
6.2 sec,160 km/h,335 km,199 Wh/km,,All Wheel Drive,7,58197.0,,199,480
7.7 sec,160 km/h,350 km,190 Wh/km,,All Wheel Drive,5,53746.0,,190,500
6.0 sec,160 km/h,350 km,190 Wh/km,,All Wheel Drive,5,56424.0,,190,500
13.1 sec,130 km/h,265 km,257 Wh/km,,Front Wheel Drive,7,64530.0,,257,290
13.1 sec,130 km/h,260 km,262 Wh/km,,Front Wheel Drive,7,65385.0,,262,280
7.3 sec,160 km/h,350 km,166 Wh/km,,Rear Wheel Drive,5,39370.0,,166,470
6.6 sec,160 km/h,345 km,168 Wh/km,,Rear Wheel Drive,5,40750.0,,168,460
7.0 sec,160 km/h,450 km,171 Wh/km,,Rear Wheel Drive,4,46450.0,,171,570
3.9 sec,225 km/h,435 km,186 Wh/km,,All Wheel Drive,5,70800.0,,186,670
7.4 sec,160 km/h,360 km,167 Wh/km,,Front Wheel Drive,5,46600.0,,167,500
11.7 sec,135 km/h,205 km,226 Wh/km,,Front Wheel Drive,7,41240.0,,226,330
11.7 sec,135 km/h,200 km,232 Wh/km,,Front Wheel Drive,7,42440.0,,232,320
7.9 sec,200 km/h,335 km,194 Wh/km,,Rear Wheel Drive,5,46990.0,,194,400
6.9 sec,180 km/h,385 km,199 Wh/km,,All Wheel Drive,5,53990.0,,199,490
8.5 sec,160 km/h,425 km,180 Wh/km,,Rear Wheel Drive,5,53900.0,,180,540
6.8 sec,180 km/h,385 km,192 Wh/km,,Rear Wheel Drive,5,67300.0,,192,520
10.0 sec,150 km/h,250 km,160 Wh/km,,Front Wheel Drive,5,42000.0,,160,360
3.4 sec,250 km/h,565 km,191 Wh/km,,All Wheel Drive,5,155009.0,,191,840
6.4 sec,210 km/h,525 km,173 Wh/km,,Rear Wheel Drive,5,,,173,780
8.6 sec,175 km/h,270 km,181 Wh/km,,Front Wheel Drive,5,33990.0,,181,260
8.4 sec,175 km/h,365 km,187 Wh/km,,Front Wheel Drive,5,37990.0,,187,410
12.0 sec,160 km/h,205 km,293 Wh/km,,Front Wheel Drive,7,68056.0,,293,190
12.0 sec,160 km/h,205 km,293 Wh/km,,Front Wheel Drive,7,68949.0,,293,190
11.7 sec,135 km/h,205 km,226 Wh/km,,Front Wheel Drive,7,43050.0,,226,330
11.7 sec,135 km/h,200 km,232 Wh/km,,Front Wheel Drive,7,44750.0,,232,320
11.7 sec,135 km/h,205 km,226 Wh/km,,Front Wheel Drive,5,37790.0,,226,330
11.7 sec,135 km/h,200 km,232 Wh/km,,Front Wheel Drive,7,43640.0,,232,320
6.1 sec,225 km/h,380 km,151 Wh/km,,Rear Wheel Drive,5,44668.0,,151,630
